"#","Country,Other","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","NewRecovered","ActiveCases","Serious,Critical","Tot Cases/1M pop","Deaths/1M pop","TotalTests","Tests/ 1M pop","Population","Continent"
"190","Sao Tome and Principe","2,406","","37","","2,332","","37","","10,771","166","14,270","63,884","223,374","Africa"
"191","St. Vincent Grenadines","2,258","","12","","2,188","","58","2","20,286","108","57,574","517,259","111,306","North America"
"192","British Virgin Islands","2,024","+34","12","+4","420","+35","1,592","27","66,491","394","64,314","2,112,812","30,440","North America"
"193","Isle of Man","1,935","","29","","1,580","","326","1","22,632","339","83,753","979,567","85,500","Europe"
"194","Mauritius","1,858","","18","","1,534","","306","","1,458","14","358,675","281,543","1,273,962","Africa"
"195","Caribbean Netherlands","1,664","","17","","1,631","","16","","62,849","642","12,091","456,678","26,476","North America"
"196","Antigua and Barbuda","1,268","","42","","1,224","","2","","12,838","425","16,799","170,080","98,771","North America"
"197","St. Barth","1,005","","1","","462","","542","","101,433","101","26,385","2,663,000","9,908","North America"
"198","Faeroe Islands","921","+7","1","","800","+20","120","","18,774","20","343,966","7,011,701","49,056","Europe"
"","","721","","15","","706","","0","0","","","","","",""
"199","Diamond Princess","712","","13","","699","","0","","","","","","",""
"200","Cayman Islands","622","+2","2","","617","","3","","9,350","30","112,718","1,694,421","66,523","North America"
"201","Saint Kitts and Nevis","548","","3","","471","","74","1","10,226","56","23,656","441,426","53,590","North America"
"202","Tanzania","509","","21","","183","","305","7","8","0.3","","","61,491,933","Africa"
"203","Wallis and Futuna","445","","7","","438","","0","","40,330","634","20,508","1,858,619","11,034","Australia/Oceania"
"204","Brunei","283","+1","3","","260","+2","20","","641","7","147,357","333,517","441,827","Asia"
"205","Dominica","206","+7","","","195","+1","11","","2,854","","20,575","285,083","72,172","North America"
"206","Grenada","161","","1","","160","","0","","1,424","9","28,684","253,695","113,065","North America"
"207","New Caledonia","129","","","","58","","71","","447","","34,704","120,355","288,347","Australia/Oceania"
"208","Anguilla","112","","","","111","","1","","7,397","","31,656","2,090,609","15,142","North America"
"209","Greenland","69","","","","51","","18","1","1,213","","33,308","585,666","56,872","North America"
"210","Falkland Islands","63","","","","63","","0","","17,573","","7,307","2,038,215","3,585","South America"
"211","Macao","55","","","","53","","2","","84","","4,580","6,955","658,514","Asia"
"212","Vatican City","27","","","","27","","0","","33,624","","","","803","Europe"
"213","Saint Pierre Miquelon","26","","","","26","","0","","4,510","","6,128","1,062,966","5,765","North America"
"214","Montserrat","21","","1","","19","","1","","4,204","200","1,408","281,882","4,995","North America"
"215","Solomon Islands","20","","","","20","","0","","28","","4,500","6,389","704,304","Australia/Oceania"
"216","Western Sahara","10","","1","","8","","1","","16","2","","","612,527","Africa"
"217","MS Zaandam","9","","2","","7","","0","","","","","","",""
"218","Vanuatu","4","","1","","3","","0","","13","3","23,000","73,116","314,570","Australia/Oceania"
"219","Marshall Islands","4","","","","4","","0","","67","","","","59,605","Australia/Oceania"
"220","Samoa","3","","","","3","","0","","15","","","","199,783","Australia/Oceania"
